FECHA,HORA,ACO,AJM,ATI,BJU,CAM,CCA,CHO,COY,CUA,CUT,FAC,FAR,HGM,INN,IZT,LLA,LPR,MER,MGH,MON,MPA,NEZ,PED,SAC,SAG,SFE,SJA,TAH,TLA,TLI,UAX,UIZ,VIF,XAL
1/3/2020,10,-99,30,74,-99,104,71,-99,-99,51,91,87,-99,-99,-99,45,71,-99,57,-99,27,-99,60,63,73,52,33,-99,31,84,160,34,54,97,83
1/3/2020,11,-99,32,34,-99,79,42,-99,-99,19,56,64,-99,-99,-99,46,44,-99,49,-99,13,-99,56,42,42,-99,21,-99,21,99,77,-99,45,53,80
1/3/2020,12,-99,39,34,-99,48,31,-99,-99,17,60,61,-99,-99,-99,44,31,-99,43,-99,9,-99,24,26,11,-99,24,-99,15,63,45,-99,32,53,54
1/3/2020,13,-99,18,33,-99,37,15,-99,-99,25,63,45,-99,-99,-99,32,21,-99,32,-99,8,-99,12,13,7,-99,23,-99,5,45,47,-99,18,44,38
1/3/2020,14,-99,14,32,-99,34,12,-99,-99,12,47,45,-99,-99,-99,17,15,-99,21,-99,7,-99,10,12,6,-99,16,-99,5,44,40,-99,15,28,28
1/3/2020,15,-99,14,29,-99,25,14,-99,-99,11,35,27,-99,-99,-99,17,18,-99,30,-99,9,-99,12,14,7,19,9,-99,8,40,41,-99,11,24,26
1/3/2020,16,-99,13,25,-99,13,10,-99,-99,11,25,14,-99,-99,-99,19,27,-99,33,-99,11,-99,12,11,8,19,11,-99,7,26,43,-99,13,28,48
1/3/2020,17,-99,16,9,-99,16,10,-99,-99,12,21,15,-99,-99,-99,24,19,-99,39,-99,14,-99,16,10,11,25,12,-99,8,22,31,-99,15,34,41
1/3/2020,18,-99,17,11,-99,20,18,-99,-99,14,21,39,-99,-99,-99,34,15,-99,31,-99,15,-99,19,16,13,28,16,-99,15,41,28,-99,18,31,37
1/3/2020,19,-99,35,26,-99,51,23,-99,-99,18,58,95,-99,-99,-99,54,27,-99,36,-99,17,-99,26,18,13,42,21,-99,25,79,40,-99,25,41,50
1/3/2020,20,-99,27,35,-99,82,29,-99,-99,19,73,66,-99,-99,-99,54,67,-99,54,-99,21,-99,30,31,18,52,32,-99,28,80,40,-99,50,67,48
1/3/2020,21,-99,40,94,-99,99,40,-99,-99,23,63,86,-99,-99,-99,55,51,-99,68,-99,23,-99,37,37,18,42,33,-99,35,101,53,-99,55,78,51
1/3/2020,22,-99,28,100,-99,86,43,-99,-99,23,82,102,-99,-99,-99,55,54,-99,81,-99,21,-99,41,49,20,63,28,-99,46,91,93,-99,75,84,54
1/3/2020,23,-99,24,109,-99,107,39,-99,-99,29,60,133,-99,-99,-99,74,35,-99,120,-99,26,-99,45,50,19,42,24,-99,44,97,54,-99,48,60,80
1/3/2020,24,-99,12,100,-99,104,47,-99,-99,33,93,60,-99,-99,-99,46,63,-99,76,-99,24,-99,33,34,17,39,19,-99,39,131,107,-99,32,75,86
1/4/2020,1,-99,8,99,-99,119,66,-99,-99,45,117,64,-99,-99,-99,47,64,-99,57,-99,38,-99,36,46,78,47,23,-99,30,122,100,-99,38,142,107
1/4/2020,2,-99,8,68,-99,46,63,-99,-99,32,164,45,-99,-99,-99,43,106,-99,49,-99,22,-99,57,58,85,58,25,-99,30,73,78,-99,35,81,116
1/4/2020,3,-99,10,48,-99,40,60,-99,-99,29,123,36,-99,-99,-99,42,116,-99,58,-99,22,-99,45,61,40,63,25,-99,23,81,74,-99,29,79,94
1/4/2020,4,-99,8,40,-99,42,59,-99,-99,22,69,35,-99,-99,-99,34,113,-99,68,-99,80,-99,54,52,47,65,19,-99,18,68,84,-99,39,82,95
