FECHA,HORA,ACO,AJM,ATI,BJU,CAM,CCA,CHO,COY,CUA,CUT,FAC,FAR,HGM,INN,IZT,LLA,LPR,MER,MGH,MON,MPA,NEZ,PED,SAC,SAG,SFE,SJA,TAH,TLA,TLI,UAX,UIZ,VIF,XAL
12/27/2020,21,-99,-99,0,-99,38,1,-99,-99,-99,5,10,-99,-99,-99,-99,-99,-99,22,2,2,-99,5,1,4,8,6,-99,24,14,-99,15,7,3,-99
12/27/2020,22,-99,-99,9,-99,49,1,-99,-99,-99,1,3,-99,-99,-99,-99,-99,-99,9,7,6,-99,5,1,51,4,3,-99,8,13,-99,16,7,6,-99
12/27/2020,23,-99,-99,2,-99,27,1,-99,-99,-99,9,7,-99,-99,-99,-99,-99,-99,9,6,9,-99,12,0,23,9,3,-99,7,7,-99,46,10,15,-99
12/27/2020,24,-99,-99,1,-99,16,0,-99,-99,-99,39,5,-99,-99,-99,-99,-99,-99,5,2,69,-99,27,0,32,42,2,-99,9,5,-99,40,18,19,-99
12/28/2020,1,-99,-99,0,-99,4,0,-99,-99,-99,71,1,-99,-99,-99,-99,-99,-99,3,3,104,-99,23,0,54,24,1,-99,7,2,-99,37,52,32,-99
12/28/2020,2,-99,-99,0,-99,3,1,-99,-99,-99,56,0,-99,-99,-99,-99,-99,-99,2,3,14,-99,3,0,31,15,1,-99,3,1,-99,7,67,23,-99
12/28/2020,3,-99,-99,0,-99,2,1,-99,-99,-99,26,0,-99,-99,-99,-99,-99,-99,26,2,20,-99,0,0,11,15,1,-99,3,1,-99,7,27,10,-99
12/28/2020,4,-99,-99,0,-99,2,1,-99,-99,-99,31,0,-99,-99,-99,-99,-99,-99,47,26,11,-99,2,0,22,27,1,-99,4,1,-99,5,18,15,-99
12/28/2020,5,-99,-99,1,-99,3,1,-99,-99,-99,33,0,-99,-99,-99,-99,-99,-99,62,35,10,-99,3,0,25,15,1,-99,4,0,-99,35,17,53,-99
12/28/2020,6,-99,-99,9,-99,50,1,-99,-99,-99,62,16,-99,-99,-99,-99,-99,-99,72,129,117,-99,26,0,48,51,5,-99,6,23,-99,76,19,67,-99
12/28/2020,7,-99,-99,33,-99,115,4,-99,-99,-99,159,45,-99,-99,-99,-99,-99,-99,109,166,113,-99,58,0,51,48,13,-99,8,43,-99,29,23,71,-99
12/28/2020,8,-99,-99,68,-99,189,14,-99,-99,-99,190,96,-99,-99,-99,-99,-99,-99,192,209,247,-99,107,6,136,96,23,-99,24,97,-99,39,62,130,-99
12/28/2020,9,-99,-99,77,-99,145,84,-99,-99,-99,200,78,-99,-99,-99,-99,-99,-99,134,144,153,-99,136,36,141,119,15,-99,37,101,-99,52,83,106,-99
12/28/2020,10,-99,-99,30,-99,99,30,-99,-99,-99,107,75,-99,-99,-99,-99,-99,-99,66,75,33,-99,81,38,73,60,6,-99,15,62,-99,20,-99,81,-99
12/28/2020,11,-99,-99,20,-99,47,18,-99,-99,-99,68,54,-99,-99,-99,-99,-99,-99,36,38,23,-99,40,17,58,20,7,-99,8,50,-99,11,25,36,-99
12/28/2020,12,-99,-99,10,-99,17,8,-99,-99,-99,18,22,-99,-99,-99,-99,-99,-99,20,14,4,-99,16,3,12,9,9,-99,5,34,-99,4,12,15,-99
12/28/2020,13,-99,-99,7,-99,7,5,-99,-99,-99,4,10,-99,-99,-99,-99,-99,-99,11,6,1,-99,6,2,5,4,6,-99,2,17,-99,3,8,3,-99
12/28/2020,14,-99,-99,5,-99,6,4,-99,-99,-99,3,8,-99,-99,-99,-99,-99,-99,7,6,1,-99,5,2,3,4,4,-99,4,15,-99,3,8,2,-99
12/28/2020,15,-99,-99,3,-99,-99,4,-99,-99,-99,2,8,-99,-99,-99,-99,-99,-99,-99,5,-99,-99,-99,2,-99,4,4,-99,4,10,-99,3,6,-99,-99
12/28/2020,16,-99,-99,2,-99,-99,4,-99,-99,-99,3,5,-99,-99,-99,-99,-99,-99,-99,4,-99,-99,-99,2,-99,3,4,-99,3,7,-99,2,4,-99,-99
12/28/2020,17,-99,-99,2,-99,-99,2,-99,-99,-99,1,5,-99,-99,-99,-99,-99,-99,2,3,-99,-99,-99,1,-99,3,3,-99,3,6,-99,2,3,-99,-99
12/28/2020,18,-99,-99,2,-99,3,1,-99,-99,-99,0,7,-99,-99,-99,-99,-99,-99,3,3,1,-99,1,1,1,2,2,-99,3,11,-99,1,1,0,-99
12/28/2020,19,-99,-99,2,-99,20,1,-99,-99,-99,1,5,-99,-99,-99,-99,-99,-99,70,4,1,-99,16,1,35,6,7,-99,3,19,-99,21,17,3,-99
