Fecha,promedioGas,Infectados,Defunciones,Hospitalizados,Acumulado,TIncidencia,Mortalidad,Letalidad,Poblacion,DensidadP,Cluster
8/31/2020,11.604166666666664,150,8,23,1564,0.0008556416546490228,0.4376683655493722,51.15089514066496,1827868,16152.95,4
9/1/2020,13.96557971014493,168,9,24,1588,0.0008687717056155039,0.4923769112430438,56.67506297229218,1827868,16152.95,4
9/2/2020,18.018115942028984,205,6,30,1637,0.000895578893005403,0.3282512741620292,36.65241295051924,1827868,16152.95,4
9/3/2020,17.804347826086953,165,8,21,1682,0.0009201977385675553,0.4376683655493722,47.56242568370987,1827868,16152.95,4
9/4/2020,9.463203463203463,160,8,15,1715,0.0009382515586464668,0.4376683655493722,46.6472303206997,1827868,16152.95,4
9/7/2020,16.166666666666664,126,10,23,1716,0.0009387986441034037,0.5470854569367154,58.27505827505828,1827868,16152.95,4
9/8/2020,19.558876811594203,165,7,18,1735,0.0009491932677852012,0.3829598198557007,40.34582132564841,1827868,16152.95,4
9/9/2020,17.804347826086953,144,7,22,1731,0.0009470049259574543,0.3829598198557007,40.43905257076834,1827868,16152.95,4
9/10/2020,26.78571428571429,184,6,24,1788,0.000978188797002847,0.3282512741620292,33.55704697986577,1827868,16152.95,4
9/11/2020,22.604166666666664,137,13,20,1794,0.000981471309744467,0.7112110940177299,72.46376811594203,1827868,16152.95,4
9/12/2020,16.541666666666664,96,14,14,1815,0.0009929601043401383,0.7659196397114014,77.1349862258953,1827868,16152.95,4
9/14/2020,19.33771929824561,118,8,21,1799,0.0009842067370291509,0.4376683655493722,44.469149527515285,1827868,16152.95,4
9/15/2020,17.1304347826087,107,13,25,1732,0.000947552011414391,0.7112110940177299,75.05773672055426,1827868,16152.95,4
9/17/2020,17.229166666666668,181,10,27,1609,0.000880260500211175,0.5470854569367154,62.15040397762586,1827868,16152.95,4
9/18/2020,21.916666666666664,114,6,18,1561,0.0008540003982782128,0.3282512741620292,38.436899423446505,1827868,16152.95,4
9/21/2020,24.630434782608692,166,4,11,1598,0.0008742425601848713,0.2188341827746861,25.031289111389235,1827868,16152.95,4
9/22/2020,21.04761904761905,153,11,13,1583,0.0008660362783308202,0.6017940026303868,69.48831332912192,1827868,16152.95,4
9/23/2020,19.6875,135,5,20,1579,0.0008638479365030735,0.2735427284683577,31.665611146295124,1827868,16152.95,4
9/24/2020,27.14583333333333,109,8,15,1507,0.00082445778360363,0.4376683655493722,53.085600530856006,1827868,16152.95,4
9/25/2020,29.083333333333336,152,9,17,1523,0.0008332111509146174,0.4923769112430438,59.09389363099147,1827868,16152.95,4
9/28/2020,17.261904761904766,161,4,23,1545,0.0008452470309672253,0.2188341827746861,25.88996763754045,1827868,16152.95,4
9/29/2020,20.072463768115945,151,8,16,1588,0.0008687717056155039,0.4376683655493722,50.377833753148614,1827868,16152.95,4
9/30/2020,22.541666666666664,125,9,22,1657,0.0009065206021441374,0.4923769112430438,54.31502715751358,1827868,16152.95,4
10/1/2020,26.75,154,9,27,1636,0.0008950318075484663,0.4923769112430438,55.01222493887529,1827868,16152.95,4
10/2/2020,20.75,139,11,18,1656,0.0009059735166872004,0.6017940026303868,66.42512077294685,1827868,16152.95,4
10/5/2020,20.020833333333336,159,8,31,1642,0.0008983143202900865,0.4376683655493722,48.721071863581,1827868,16152.95,4
10/6/2020,23.25,151,9,31,1639,0.0008966730639192764,0.4923769112430438,54.91153142159854,1827868,16152.95,4
10/7/2020,31.812500000000004,176,8,26,1683,0.000920744824024492,0.4376683655493722,47.534165181224004,1827868,16152.95,4
10/8/2020,25.854166666666664,167,9,12,1736,0.0009497403532421377,0.4923769112430438,51.84331797235024,1827868,16152.95,4
10/9/2020,20.354166666666664,180,11,14,1759,0.0009623233187516824,0.6017940026303868,62.535531552018185,1827868,16152.95,4
10/12/2020,20.02083333333333,203,9,29,1828,0.0010000722152803156,0.4923769112430438,49.23413566739606,1827868,16152.95,4
10/13/2020,23.625,189,12,19,1862,0.001018673120816164,0.6565025483240584,64.4468313641246,1827868,16152.95,4
10/14/2020,19.458333333333336,178,13,16,1910,0.0010449332227491263,0.7112110940177299,68.06282722513089,1827868,16152.95,4
10/15/2020,20.2,206,5,19,1965,0.0010750229228806457,0.2735427284683577,25.445292620865146,1827868,16152.95,4
10/16/2020,17.952380952380953,232,5,14,2059,0.0011264489558326966,0.2735427284683577,24.283632831471586,1827868,16152.95,4
10/17/2020,17.895833333333336,131,10,17,2107,0.0011527090577656593,0.5470854569367154,47.4608448030375,1827868,16152.95,4
10/19/2020,20.996376811594203,219,9,22,2221,0.0012150767998564448,0.4923769112430438,40.5222872579919,1827868,16152.95,4
10/20/2020,19.25,306,9,17,2384,0.0013042517293371293,0.4923769112430438,37.751677852349,1827868,16152.95,4
10/21/2020,18.479166666666664,256,13,16,2464,0.0013480185658920664,0.7112110940177299,52.759740259740255,1827868,16152.95,4
10/22/2020,26.679824561403514,293,12,23,2585,0.0014142159061814091,0.6565025483240584,46.42166344294004,1827868,16152.95,4
10/23/2020,28.52795031055901,279,11,21,2678,0.0014650948536765235,0.6017940026303868,41.07542942494399,1827868,16152.95,4
10/24/2020,21.458333333333336,134,9,23,2720,0.0014880724428678654,0.4923769112430438,33.088235294117645,1827868,16152.95,4
10/26/2020,34.6875,295,12,26,2835,0.0015509872704155881,0.6565025483240584,42.32804232804233,1827868,16152.95,4
10/29/2020,28.75,245,7,12,3172,0.001735355069403261,0.3829598198557007,22.068095838587645,1827868,16152.95,4
10/30/2020,20.680555555555557,188,7,21,3128,0.0017112833092980456,0.3829598198557007,22.378516624040923,1827868,16152.95,4
10/31/2020,22.826086956521745,104,4,13,3104,0.0016981532583315645,0.2188341827746861,12.88659793814433,1827868,16152.95,4
11/3/2020,26.325,252,5,29,2886,0.0015788886287193605,0.2735427284683577,17.325017325017324,1827868,16152.95,4
11/4/2020,28.180555555555557,250,17,24,2872,0.0015712294323222465,0.9300452767924162,59.192200557103064,1827868,16152.95,4
11/5/2020,25.4375,244,10,17,2827,0.0015466105867600946,0.5470854569367154,35.37318712415989,1827868,16152.95,4
11/6/2020,23.35416666666667,232,12,26,2780,0.0015208975702840687,0.6565025483240584,43.165467625899275,1827868,16152.95,4
11/7/2020,24.9375,112,7,19,2763,0.0015115971175161445,0.3829598198557007,25.334781035106765,1827868,16152.95,4
11/9/2020,33.5,227,6,30,2670,0.00146071817002103,0.3282512741620292,22.471910112359552,1827868,16152.95,4
11/10/2020,37.20833333333333,266,10,29,2594,0.0014191396752938395,0.5470854569367154,38.55050115651504,1827868,16152.95,4
11/11/2020,32.61011904761905,275,14,39,2530,0.00138412620604989,0.7659196397114014,55.33596837944664,1827868,16152.95,4
11/12/2020,35.125,268,19,34,2538,0.0013885028897053836,1.0394623681797592,74.86209613869187,1827868,16152.95,4
11/13/2020,39.15833333333333,240,9,34,2585,0.0014142159061814091,0.4923769112430438,34.81624758220504,1827868,16152.95,4
11/14/2020,36.0625,116,9,27,2592,0.0014180455043799661,0.4923769112430438,34.72222222222222,1827868,16152.95,4
11/17/2020,14.541666666666664,279,9,33,2618,0.0014322697262603207,0.4923769112430438,34.37738731856379,1827868,16152.95,4
11/18/2020,19.99728260869565,219,14,28,2585,0.0014142159061814091,0.7659196397114014,54.15860735009671,1827868,16152.95,4
11/19/2020,26.47916666666667,276,16,27,2610,0.001427893042604827,0.8753367310987444,61.30268199233716,1827868,16152.95,4
11/20/2020,28.5,291,11,22,2667,0.0014590769136502196,0.6017940026303868,41.244844394450695,1827868,16152.95,4
11/21/2020,19.52380952380953,134,13,22,2683,0.0014678302809612073,0.7112110940177299,48.45322400298174,1827868,16152.95,4
11/28/2020,40.770833333333336,188,17,30,3369,0.0018431309044197946,0.9300452767924162,50.46007717423568,1827868,16152.95,4
12/6/2020,19.24365942028986,109,16,40,5582,0.003053831020620745,0.8753367310987444,28.663561447509853,1827868,16152.95,4
12/13/2020,18.77083333333333,105,18,43,7704,0.004214746360240455,0.9847538224860876,23.36448598130841,1827868,16152.95,4
12/20/2020,25.625,115,20,62,8608,0.004709311613311245,1.0941709138734308,23.234200743494426,1827868,16152.95,4
12/26/2020,27.1947463768116,278,35,51,7937,0.00434221727170671,1.914799099278504,44.09726596950989,1827868,16152.95,4
12/27/2020,28.571428571428577,152,36,64,7972,0.004361365262699496,1.9695076449721756,45.158053186151534,1827868,16152.95,4
1/1/2021,15.0,104,33,42,8030,0.004393096219201824,1.8053820078911609,41.0958904109589,1827868,16152.95,4
1/2/2021,28.685463659147874,218,31,51,7893,0.004318145511601495,1.6959649165038175,39.275307234258214,1827868,16152.95,4
1/3/2021,22.625,157,37,44,7935,0.0043411231007928364,2.0242161906658467,46.62885948330183,1827868,16152.95,4
1/10/2021,11.208333333333336,197,34,60,10996,0.006015751684476122,1.8600905535848324,30.92033466715169,1827868,16152.95,4
1/17/2021,16.354166666666664,155,41,52,13625,0.007454039350762747,2.2430503734405334,30.091743119266056,1827868,16152.95,4
1/24/2021,23.979166666666664,192,41,56,12489,0.006832550271682638,2.2430503734405334,32.82888942269197,1827868,16152.95,4
1/31/2021,13.354166666666664,111,39,37,10018,0.005480702107592014,2.13363328205319,38.929926132960674,1827868,16152.95,4
