Estado,Fecha,Infectados,Curados,Defunciones,Acumulado,Poblacion,TIncidencia,promedioCO,promedioO3,promedioSO2,promedioCOEsc,promedioO3Esc,promedioSO2Esc,Cluster
Ciudad de México,2021-01-16,3731,1698,191,75690,8918653,0.008486707577927,0.38415221704623903,0.812121212121212,0.955494505494505,384.152217046239,812.121212121212,955.494505494505,3
Ciudad de México,2021-01-23,3025,3707,204,71223,8918653,0.007985847190153,0.40523284812272203,1.0,0.928104575163399,405.23284812272203,1000.0,928.1045751633991,3
Ciudad de México,2021-01-30,2344,3529,204,61393,8918653,0.006883662813207,0.435094926182739,0.652777777777778,1.0,435.094926182739,652.777777777778,1000.0,3
Ciudad de México,2021-02-03,3840,5475,179,51892,8918653,0.005818367414899999,0.40224616436270094,0.9206349206349209,0.930555555555556,402.24616436270105,920.634920634921,930.555555555556,3
Ciudad de México,2021-02-04,3606,5271,142,50085,8918653,0.005615758343777,0.42512959083322205,0.916666666666667,0.895285087719298,425.129590833222,916.666666666667,895.285087719298,3
Ciudad de México,2021-02-05,3483,5267,148,48153,8918653,0.005399133703262,0.424298201301059,0.833333333333333,0.958333333333333,424.298201301059,833.333333333333,958.333333333333,3
Ciudad de México,2021-02-06,1879,2833,147,47052,8918653,0.0052756845680619995,0.355956915284978,1.0,0.9736842105263158,355.95691528497804,1000.0,973.6842105263161,3
Ciudad de México,2021-02-08,3913,5544,149,44787,8918653,0.005021722450688,0.31126653928209,1.0,0.7933389074693421,311.26653928209,1000.0,793.3389074693421,3
Ciudad de México,2021-02-09,3080,5652,152,42063,8918653,0.004716295162509,0.3819505116096029,0.875,0.917647058823529,381.950511609603,875.0,917.647058823529,3
Ciudad de México,2021-02-10,2929,4821,129,40042,8918653,0.004489691436588001,0.408070922044707,0.857142857142857,0.9074113856068741,408.070922044707,857.1428571428571,907.411385606874,3
Ciudad de México,2021-02-11,2622,4444,113,38107,8918653,0.004272730422408,0.287108758391367,0.7773809523809521,0.76286231884058,287.108758391367,777.380952380952,762.86231884058,3
Ciudad de México,2021-02-12,2915,4054,127,36841,8918653,0.004130780735611,0.22291084340387401,0.75625,0.734660267268963,222.91084340387403,756.25,734.660267268963,3
Ciudad de México,2021-02-15,2944,979,103,37795,8918653,0.004237747561207,0.280942959379224,1.0,0.6753293807641629,280.942959379224,1000.0,675.329380764163,3
Ciudad de México,2021-02-16,2769,4290,142,36132,8918653,0.0040512844260229995,0.26266725180720396,1.0,0.690574576938213,262.667251807204,1000.0,690.574576938213,3
Ciudad de México,2021-02-17,2461,3707,126,34760,8918653,0.003897449536382,0.29615849203497396,0.916666666666667,0.7471852916516949,296.15849203497396,916.666666666667,747.1852916516949,3
Ciudad de México,2021-02-18,2401,3476,102,33583,8918653,0.003765478934992,0.39237118393890097,0.816326530612245,0.7647058823529409,392.37118393890097,816.326530612245,764.705882352941,3
Ciudad de México,2021-02-19,2395,3355,102,32521,8918653,0.0036464026574419997,0.45524475850946394,0.819444444444444,1.0,455.244758509464,819.444444444444,1000.0,3
Ciudad de México,2021-02-22,3014,3790,117,31029,8918653,0.0034791128211849997,0.36302567436377503,1.0,1.0,363.025674363775,1000.0,1000.0,3
Ciudad de México,2021-02-23,2705,2975,89,30670,8918653,0.0034388601058929994,0.323777997364954,0.583333333333333,1.0,323.777997364954,583.333333333333,1000.0,3
Ciudad de México,2021-02-24,2388,2824,108,30126,8918653,0.0033778643479009996,0.30992461435658897,0.833333333333333,0.758333333333333,309.924614356589,833.333333333333,758.333333333333,3
Ciudad de México,2021-02-25,2369,2519,94,29882,8918653,0.0033505059564490004,0.3468737183868761,0.75,0.8731060606060609,346.87371838687596,750.0,873.106060606061,3
Ciudad de México,2021-02-26,2515,2806,99,29492,8918653,0.0033067773799470004,0.433122709011835,0.916666666666667,0.9642857142857142,433.122709011835,916.666666666667,964.285714285714,3
