Fecha,promedioGasNOX,Infectados,Defunciones
3/19/2020,6786.95652173913,64,0
3/20/2020,5614.285714285715,36,0
3/21/2020,3245.8333333333335,22,0
3/22/2020,3491.6666666666665,18,1
3/23/2020,6054.166666666666,44,1
3/24/2020,6829.166666666667,64,0
3/25/2020,5552.173913043478,46,1
3/26/2020,4410.0,71,3
3/27/2020,5604.166666666666,64,4
3/28/2020,3141.666666666667,61,2
3/29/2020,0.0,37,2
3/30/2020,0.0,78,4
3/31/2020,0.0,59,7
4/1/2020,0.0,69,6
4/2/2020,0.0,83,6
4/3/2020,0.0,95,7
4/4/2020,3179.166666666667,64,6
4/5/2020,2304.166666666667,56,6
4/6/2020,3608.6956521739135,140,15
4/7/2020,3166.666666666667,142,11
4/8/2020,4000.0,133,6
4/9/2020,3066.666666666667,145,17
4/10/2020,2533.333333333333,169,26
4/11/2020,2870.833333333333,123,24
4/12/2020,1965.2173913043478,120,11
4/13/2020,3910.526315789474,284,16
4/14/2020,0.0,263,26
4/15/2020,0.0,244,26
4/16/2020,3141.666666666667,264,27
4/17/2020,3333.3333333333335,355,23
4/18/2020,3804.347826086956,204,31
4/19/2020,2404.7619047619046,208,40
4/20/2020,3291.6666666666665,482,39
4/21/2020,3354.1666666666665,470,50
4/22/2020,4445.833333333334,440,35
4/23/2020,4283.333333333334,396,51
4/24/2020,3169.5652173913045,557,58
4/25/2020,4185.714285714285,293,74
4/26/2020,1629.1666666666667,256,74
4/27/2020,2441.666666666667,530,62
4/28/2020,3925.0,599,55
4/29/2020,3554.1666666666665,627,97
4/30/2020,2047.826086956522,589,94
5/1/2020,3100.0,379,100
5/2/2020,3150.0,347,70
5/3/2020,2337.5,319,85
5/4/2020,3700.0,773,84
5/5/2020,2691.666666666667,615,98
5/6/2020,2304.3478260869565,720,102
5/7/2020,3009.5238095238096,751,83
5/8/2020,3370.8333333333335,826,99
5/9/2020,2175.0,425,92
5/10/2020,1829.1666666666667,395,106
5/11/2020,2508.333333333333,855,96
5/12/2020,4013.0434782608695,864,120
5/13/2020,3242.857142857143,916,110
5/14/2020,4175.0,833,130
5/15/2020,3620.8333333333335,975,126
5/16/2020,2387.5,628,122
5/17/2020,2408.333333333333,383,145
5/18/2020,2465.2173913043475,1113,141
5/19/2020,3023.809523809524,1060,127
5/20/2020,3400.0,1072,107
5/21/2020,3645.8333333333335,994,139
5/22/2020,4612.5,949,115
5/23/2020,3583.3333333333335,506,114
5/24/2020,2439.1304347826085,388,129
5/25/2020,3509.5238095238096,1066,126
5/26/2020,3070.833333333333,938,123
5/27/2020,2975.0,1004,109
5/28/2020,3333.3333333333335,857,120
