FECHA,HORA,ACO,AJM,ATI,BJU,CAM,CCA,CHO,CUA,FAC,FAR,HGM,INN,IZT,LLA,LPR,MER,MGH,MON,MPA,NEZ,PED,SAG,SAC,SFE,SJA,TAH,TLA,TLI,UAX,UIZ,VIF,XAL
1/1/2020,21,-99,-99,-99,0.1,0.2,0.1,-99,0.1,0.1,-99,0.1,0.2,-99,0.2,0.1,0.2,0.1,0.1,0.1,0.2,0.1,0.3,0.1,0,-99,0.1,0.1,0.2,-99,0.2,0.2,0.1
1/1/2020,22,-99,-99,-99,0.1,0.2,0.1,-99,0.1,0.1,-99,0.1,0.2,-99,0.2,0.1,0.3,0.1,0.1,0.1,0.1,0.1,0.3,0.1,0,-99,0.1,0.1,0.2,-99,0.2,0.2,0.1
1/1/2020,23,-99,-99,-99,0.1,0.1,0.2,-99,0.1,0.1,-99,0.2,0.2,-99,0.3,0.2,0.2,0.2,-99,0.1,0.1,0.3,0.4,0,0,-99,0.2,0.2,0.2,-99,0.2,0.2,0.1
1/1/2020,24,-99,-99,-99,0.1,0.1,0.3,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.2,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.2,-99
1/2/2020,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1/2/2020,2,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1/2/2020,3,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1/2/2020,4,-99,-99,-99,0,0,0.1,-99,0,0.2,-99,-99,0.1,-99,0.1,0,0,0,-99,0.1,0.1,0,-99,0.3,0.1,-99,0.1,0.1,0.1,-99,0,0,-99
1/2/2020,5,-99,-99,-99,0,0,0.1,-99,0,0.2,-99,-99,0.1,-99,0.1,0.1,0,0.1,0.1,0.1,0.1,0,-99,0.3,0,-99,0.2,0.2,0.1,-99,0,0,-99
1/2/2020,6,-99,-99,-99,0,0.1,0.1,-99,0.1,0.1,-99,-99,0.1,0.1,0.2,0.1,0.1,0.2,0.1,0.1,0.1,0,-99,0.4,0,-99,0.2,0.2,0.1,-99,0.1,0.1,-99
